probeset_id	transcript_id
13338816	AT1G11440
13338820	AT1G11450
13338828	AT1G11460
13338835	AT1G11475
13338841	AT1G11500
13338845	AT1G11520
13338847	AT1G11530
13338853	AT1G50070;AT1G50100;AT1G11550;AT3G52565;AT5G06125;AT5G46325;AT1G61910;AT2G36150;AT4G18255
13338855	AT1G11560
13338857	AT1G11570
13338862	AT1G11572
13338866	AT1G11580
13338872	AT1G11590
13338877	AT1G11593
13338879	AT1G11600
13338883	AT1G11608
13338887	AT1G11620
13338889	AT1G11650
13338898	AT1G11655
13338902	AT1G11660
13338915	AT1G11680
13338920	AT1G11690
13338922	AT1G11700
13338926	AT1G11710
13338930	AT1G11720
13338949	AT1G11730
13338961	AT1G11750
13338974	AT1G11765
13338978	AT1G11770
13338981	AT1G11790
13338997	AT1G11810
13339000	AT1G11840
13339015	AT1G11850
13339019	AT1G11860
13339027	AT1G11870
13339041	AT1G11890
13339050	AT1G11905
13339057	AT1G11915
13339062	AT1G11930
13339073	AT1G11970
13339075	AT1G11980
13339077	AT1G12010
13339084	AJ505682
13339086	AT1G12015
13339088	AT1G12040
13339092	AT1G12050
13339109	AT1G12060
13339111	AT1G12080
13339117	AT1G12100
13339119	AT1G12110
13339127	AT1G12130
13339133	AT1G12140;AT1G12150
13339141	AT1G12160
13339148	AT1G12180
13339153	AT1G12200
13339163	AT1G12210
13339165	AT1G12220
13339171	AT1G12230
13339187	AT1G12240
13339195	AT1G12244
13339203	AT1G12250
13339213	AT1G12270
13339222	AT1G12320
13339227	AT1G12330
13339232	AT1G12340
13339238	AT1G12350
13339247	AT1G12360
13339270	AT1G12390
13339276	AT1G12400
13339281	AT1G12410
13339293	AT1G12450
13339300	AT1G12460
13339305	AT1G12470
13339329	AT1G12490
13339332	AT1G12540
13339337	AT1G12550
13339342	AT1G12560
13339347	AT1G12580
13339355	AT1G12630
13339357	AT1G12650
13339372	AT1G12660
13339375	AT1G12663
13339378	AT1G12665
13339381	AT1G12672
13339390	AT1G12730
13339407	AT1G12740
13339419	AT1G12760
13339429	AT1G12770
13339434	AT1G12775
13339437	AT1G12805
13339441	AT1G12810
13339447	AT1G12840
13339461	AT1G12855
13339463	AT1G12860
13339470	AT1G12880
13339477	AT1G12890
13339479	AT1G12938
13339481	AT1G12940
13339486	AT1G12950
13339496	AT1G12970
13339502	AT1G12980
13339506	AT1G12990
13339511	AT2G24390
13339513	AT1G13040
13339515	AT1G13050
13339521	AT1G13060
13339532	AT1G13080
13339539	AT1G13090
13339543	AT1G13100
13339546	AT1G13110
13339550	AT1G13130
13339556	AT1G13160
13339573	AT1G13180
13339585	AT1G13190
13339589	AT1G13220
13339602	AT1G13230
13339607	AT1G13260
13339611	AT1G13270
13339626	AT1G13280
13339631	AT1G13300
13339639	AT1G13330
13339648	AT1G13400
13339654	AT1G13410
13339659	AT1G13420
13339663	AT1G13430
13339666	AT1G13448
13339669	AT1G13460
13339676	AT1G13590
13339680	AT1G13605
13339685	AT1G13607
13339689	AT1G13608
13339692	AT1G13609
13339698	AT1G13620
13339704	AT1G13635
13339713	AT1G13670
13339717	AT1G13680
13339726	AT1G13690
13339731	AT1G75740;AT1G13720;AT5G60966;AT2G03700
13339733	AT1G13730
13339743	AT1G13740
13339748	AT1G13770
13339765	AT1G13780
13339771	AT1G13790
13339779	AT1G13810
13339784	AT1G13820
13339797	AT1G13880
13339802	AT1G13890
13339808	AT1G13910
13339822	AT1G13920
13339830	AT1G13930
13339835	AT1G13950
13339843	AT1G13960
13339852	AT1G13980
13339861	AT1G13990
13339873	AT1G14000
13339886	AT1G14020;AT1G14030
13339897	AT1G14040
13339910	AT1G14070
13339913	AT1G14080
13339918	AT1G14100
13339921	AT1G14110
13339925	AT1G14150
13339930	AT1G14180
13339937	AT1G14185
13339941	AT1G14190
13339943	AT1G14205
13339949	AT1G14230
13339960	AT1G14240
13339973	AT1G14250
13339984	AT1G14260
13339995	AT1G14280
13339998	AT1G14310
13340009	AT1G14320
13340017	AT1G14340
13340024	AT1G14345
13340027	AT1G14350
13340042	AT1G14370
13340051	AT1G14390
13340057	AT1G14430
13340061	AT1G14470
13340063	AT1G14480
13340070	AT1G14500
13340073	AT1G14550
13340078	AT1G14560
13340088	AT1G14570
13340102	AT1G14580
13340110	AT1G14630
13340118	AT1G14640
13340121	AT1G14642
13340124	AT1G14650
13340132	AT1G14670
13340142	AT1G14680
13340144	AT1G14685
13340150	AT1G14687
13340153	AT1G14700
13340161	AT1G14730
13340168	AT1G14755
13340172	AT1G14780;AT1G14790
13340182	AT1G14800
13340190	AT1G14860
13340196	AT1G14890
13340200	AT1G14920
13340204	AT1G15000
13340207	AT1G15010
13340210	AT1G15015
